Date,Open,High,Low,Close,Adj Close,Volume
2021-03-09,149.96,151.57,148.16,149.79,149.79,31582909
2021-03-10,148.69,153.23,147.98,150.8,150.8,88070115
2021-03-11,151.63,152.17,148.65,149.96,149.96,169695510
2021-03-12,155.17,155.67,151.54,153.15,153.15,64974452
2021-03-15,151.95,152.48,151.3,152.06,152.06,33906176
2021-03-16,151.37,152.51,150.31,152.36,152.36,44265842
2021-03-17,156.09,156.25,155.37,156.19,156.19,49774350
2021-03-18,157.75,160.49,156.84,157.88,157.88,116441461
2021-03-19,157.13,158.42,156.19,158.33,158.33,86100003
2021-03-22,156.28,157.55,154.61,156.72,156.72,25121555
2021-03-23,160.71,160.93,159.55,160.41,160.41,67351630
2021-03-24,156.64,156.68,154.36,155.83,155.83,74169795
2021-03-25,157.19,158.78,154.87,157.51,157.51,166791346
2021-03-26,158.4,160.94,156.75,159.68,159.68,25466149
2021-03-29,160.1,162.27,159.57,160.97,160.97,41697279
2021-03-30,161.76,165.61,160.99,163.61,163.61,40503415
2021-03-31,163.9,164.2,163.89,164.15,164.15,117929034
2021-04-01,163.92,164.42,163.4,163.43,163.43,112025234
2021-04-02,160.34,163.65,159.25,161.56,161.56,85144159
2021-04-05,157.62,159.99,157.51,159.96,159.96,40765423
2021-04-06,160.78,161.01,160.15,160.38,160.38,54195090
2021-04-07,158.04,158.34,156.13,156.53,156.53,80244708
2021-04-08,161.9,163.26,159.78,161.02,161.02,96372183
2021-04-09,162.68,162.74,158.78,160.99,160.99,48180993
2021-04-12,164.62,166.73,161.92,163.71,163.71,49799345
2021-04-13,162.78,164.13,162.73,163.03,163.03,50336148
2021-04-14,163.01,164.69,161.89,162.97,162.97,85244021
2021-04-15,162.66,164.61,161.99,163.07,163.07,72744735
2021-04-16,161.61,162.72,160.01,161.73,161.73,86895219
2021-04-19,159.46,161.37,157.04,159.69,159.69,61664022
2021-04-20,160.34,160.7,159.33,159.6,159.6,169672090
2021-04-21,160.47,160.5,159.66,160.15,160.15,86083886
2021-04-22,161.92,162.35,159.85,161.58,161.58,82180150
2021-04-23,160.6,163.11,158.91,159.94,159.94,28193296
2021-04-26,162.16,162.56,159.62,160.36,160.36,66345410
2021-04-27,159.24,161.68,157.8,158.6,158.6,121390656
2021-04-28,156.45,156.46,155.14,155.95,155.95,51657297
2021-04-29,161.99,162.82,159.39,160.23,160.23,48783665
2021-04-30,161.37,161.64,160.33,161.34,161.34,68397991
2021-05-03,161.95,164.25,161.72,161.92,161.92,57939011
2021-05-04,162.72,164.08,158.96,161.66,161.66,54583382
2021-05-05,159.66,159.72,155.77,158.47,158.47,53722315
2021-05-06,157.38,159.65,157.06,158.52,158.52,47863548
2021-05-07,156.25,156.83,153.71,156.13,156.13,112442410
2021-05-10,158.98,159.71,155.8,156.95,156.95,55873970
2021-05-11,158.27,158.41,155.19,156.9,156.9,47148502
2021-05-12,155.97,159.53,154.44,157.54,157.54,83927051
2021-05-13,156.99,157.72,153.95,155.86,155.86,64016028
2021-05-14,157.05,158.92,154.28,156.51,156.51,55532191
2021-05-17,158.03,158.35,156.48,157.21,157.21,51461925
2021-05-18,159.8,162.01,158.45,161.46,161.46,128354952
2021-05-19,163.28,163.57,159.58,161.85,161.85,31105177
2021-05-20,163.18,164.64,162.99,163.21,163.21,97456841
2021-05-21,162.6,163.15,160.82,162.99,162.99,27181254
2021-05-24,162.2,163.6,159.07,160.46,160.46,57709415
2021-05-25,159.38,159.38,158.09,158.82,158.82,94145497
2021-05-26,161.58,161.97,159.24,159.33,159.33,88520709
2021-05-27,157.25,157.53,156.31,156.59,156.59,140282747
2021-05-28,156.9,157.04,152.75,154.82,154.82,111804084
2021-05-31,155.16,156.35,151.32,154.17,154.17,62047954
2021-06-01,153.48,156.47,151.38,154.45,154.45,81919161
2021-06-02,154.68,157.9,154.28,155.11,155.11,35163668
2021-06-03,160.61,161.31,158.2,158.69,158.69,45102668
2021-06-04,165.64,166.32,161.57,163.42,163.42,82960230
2021-06-07,163.27,164.38,162.54,163.13,163.13,94342419
2021-06-08,164.03,165.36,161.19,163.13,163.13,67965763
2021-06-09,162.66,165.78,161.04,163.29,163.29,28805244
2021-06-10,168.42,168.66,168.15,168.42,168.42,66108583
2021-06-11,171.36,175.61,170.11,172.53,172.53,46849331
2021-06-14,173.57,174.03,170.91,172.01,172.01,58859238
2021-06-15,179.05,181.22,176.77,178.27,178.27,82562341
2021-06-16,179.87,180.57,175.88,178.35,178.35,107672159
2021-06-17,177.73,180.58,174.69,177.48,177.48,86202934
2021-06-18,174.71,177.17,173.91,176.63,176.63,125303016
2021-06-21,179.41,180.79,179.37,180.24,180.24,77273477
2021-06-22,177.32,178.27,172.84,175.84,175.84,44069325
