Date,Open,High,Low,Close,Adj Close,Volume
2021-03-09,139.72,140.7,137.68,138.63,138.63,15738545
2021-03-10,143.66,144.16,139.25,141.48,141.48,52405250
2021-03-11,139.8,141.84,137.15,139.44,139.44,18296636
2021-03-12,135.01,138.21,134.51,136.76,136.76,16469734
2021-03-15,138.29,138.41,136.42,137.52,137.52,23010728
2021-03-16,140.56,140.61,138.33,138.34,138.34,9934047
2021-03-17,139.85,140.27,137.08,138.88,138.88,20018619
2021-03-18,138.83,139.05,137.29,138.82,138.82,18297292
2021-03-19,140.81,141.28,140.24,140.92,140.92,12983637
2021-03-22,138.67,140.33,136.1,138.54,138.54,11222928
2021-03-23,137.02,138.58,136.87,137.51,137.51,10271284
2021-03-24,135.05,137.05,134.09,136.72,136.72,15594380
2021-03-25,133.5,134.41,132.33,133.99,133.99,34631300
2021-03-26,136.11,136.42,134.36,134.85,134.85,24491862
2021-03-29,133.82,136.88,133.15,134.83,134.83,39749602
2021-03-30,131.8,132.62,131.57,131.95,131.95,13482559
2021-03-31,130.33,131.29,130.17,130.27,130.27,13327870
2021-04-01,131.89,131.96,129.07,130.73,130.73,40913061
2021-04-02,129.84,131.02,128.77,129.94,129.94,115505564
2021-04-05,125.87,127.56,125.61,127.17,127.17,46970048
2021-04-06,127.35,127.89,126.71,127.85,127.85,20366358
2021-04-07,127.93,130.32,127.42,128.04,128.04,8081574
2021-04-08,124.29,126.1,123.87,125.53,125.53,39479321
2021-04-09,126.38,127.13,125.89,126.22,126.22,20140453
2021-04-12,122.93,125.82,122.48,123.75,123.75,19646105
2021-04-13,121.77,123.77,120.95,123.37,123.37,30437566
2021-04-14,122.26,122.27,122.15,122.26,122.26,35798466
2021-04-15,128.02,128.85,126.02,126.7,126.7,27029286
2021-04-16,120.02,121.72,119.31,121.51,121.51,30786739
2021-04-19,121.73,123.78,121.09,121.91,121.91,27614763
2021-04-20,124.05,124.42,121.77,122.49,122.49,26451049
2021-04-21,125.17,125.92,122.12,123.79,123.79,33098548
2021-04-22,127.57,127.68,125.25,125.67,125.67,25537047
2021-04-23,125.8,126.42,124.91,126.37,126.37,13945182
2021-04-26,124.65,126.13,123.07,124.9,124.9,23994535
2021-04-27,123.37,125.75,122.62,123.97,123.97,37214714
2021-04-28,127.37,127.52,125.62,127.4,127.4,23732849
2021-04-29,125.81,126.87,125.73,126.85,126.85,9600576
2021-04-30,127.1,130.0,126.85,128.06,128.06,12445949
2021-05-03,124.29,126.77,124.06,124.85,124.85,66250302
2021-05-04,122.97,124.57,121.69,123.39,123.39,19885053
2021-05-05,126.52,128.02,124.62,125.88,125.88,29946109
2021-05-06,121.52,123.86,121.37,123.72,123.72,114368927
2021-05-07,123.03,125.25,121.53,123.61,123.61,20849187
2021-05-10,124.54,125.16,123.4,125.0,125.0,23027736
2021-05-11,126.45,127.5,124.99,125.13,125.13,21362915
2021-05-12,121.61,122.37,121.6,121.82,121.82,20565368
2021-05-13,121.21,122.49,118.6,120.89,120.89,18400916
2021-05-14,122.61,123.0,121.7,121.75,121.75,35161570
2021-05-17,120.23,121.82,118.45,120.18,120.18,21016687
2021-05-18,118.85,119.16,118.58,118.61,118.61,33025781
2021-05-19,117.24,118.78,114.98,116.75,116.75,10955702
