Date,Open,High,Low,Close,Adj Close,Volume
2021-03-09,1497.22,1521.72,1484.63,1514.04,1514.04,6899045
2021-03-10,1499.44,1502.35,1499.15,1499.54,1499.54,12104846
2021-03-11,1516.47,1518.65,1500.3,1509.66,1509.66,12626270
2021-03-12,1502.85,1504.87,1495.0,1501.33,1501.33,11171822
2021-03-15,1533.24,1556.43,1511.86,1535.77,1535.77,10292275
2021-03-16,1555.14,1563.93,1520.92,1548.69,1548.69,7529176
2021-03-17,1547.62,1555.27,1531.81,1539.49,1539.49,16081619
2021-03-18,1468.02,1470.81,1452.12,1464.98,1464.98,24898566
2021-03-19,1425.34,1430.25,1424.1,1427.5,1427.5,15407950
2021-03-22,1476.04,1490.26,1465.0,1481.43,1481.43,31024695
2021-03-23,1503.92,1518.79,1494.32,1509.24,1509.24,10140769
2021-03-24,1496.66,1509.12,1482.01,1491.53,1491.53,23320071
2021-03-25,1495.04,1499.63,1486.82,1496.32,1496.32,15314254
2021-03-26,1481.14,1513.63,1471.19,1486.36,1486.36,9348927
2021-03-29,1473.38,1473.49,1437.95,1449.34,1449.34,16566878
2021-03-30,1418.29,1433.61,1400.61,1418.26,1418.26,14315285
2021-03-31,1399.13,1409.57,1361.29,1382.08,1382.08,20154477
2021-04-01,1387.68,1421.15,1387.45,1404.03,1404.03,17296227
2021-04-02,1428.51,1440.99,1426.78,1433.13,1433.13,9334201
2021-04-05,1390.97,1413.66,1375.92,1398.74,1398.74,22173440
2021-04-06,1363.84,1381.67,1349.63,1355.63,1355.63,30047790
2021-04-07,1301.14,1311.26,1293.43,1302.95,1302.95,9424875
2021-04-08,1340.81,1344.16,1336.3,1339.5,1339.5,20549655
2021-04-09,1360.81,1381.22,1349.36,1376.64,1376.64,29887194
2021-04-12,1330.77,1346.1,1308.7,1332.31,1332.31,26016830
2021-04-13,1317.73,1320.27,1316.87,1319.85,1319.85,21824241
2021-04-14,1322.38,1327.42,1316.52,1321.09,1321.09,16565033
2021-04-15,1374.38,1377.92,1363.64,1374.25,1374.25,63073703
2021-04-16,1411.9,1428.17,1407.03,1417.46,1417.46,8186782
2021-04-19,1445.84,1461.43,1414.14,1437.57,1437.57,11284759
2021-04-20,1492.63,1499.45,1459.23,1474.87,1474.87,13310527
2021-04-21,1483.91,1523.57,1474.09,1500.97,1500.97,24263327
2021-04-22,1535.44,1546.82,1516.82,1519.22,1519.22,21414954
2021-04-23,1485.88,1501.38,1474.06,1487.82,1487.82,9915467
2021-04-26,1483.68,1501.93,1461.14,1487.08,1487.08,8633741
2021-04-27,1491.72,1495.52,1475.27,1491.77,1491.77,8051046
2021-04-28,1430.74,1452.53,1417.22,1438.44,1438.44,11515560
2021-04-29,1471.17,1480.69,1440.0,1464.18,1464.18,8087215
