Date,Open,High,Low,Close,Adj Close,Volume
2021-03-09,316.11,319.02,314.77,316.8,316.8,36253533
2021-03-10,298.97,304.8,298.73,302.77,302.77,44809798
2021-03-11,306.45,306.92,305.24,306.7,306.7,27549164
2021-03-12,302.71,304.44,300.48,301.27,301.27,30167410
2021-03-15,304.93,307.98,297.98,304.01,304.01,11722418
2021-03-16,292.4,294.01,289.68,293.49,293.49,19113233
2021-03-17,289.59,291.9,286.84,288.78,288.78,25014441
2021-03-18,284.78,286.02,283.01,283.72,283.72,29778614
2021-03-19,275.18,279.75,274.97,277.99,277.99,36806217
2021-03-22,284.56,288.19,281.36,282.81,282.81,22983311
2021-03-23,282.34,289.2,282.04,286.58,286.58,38416900
2021-03-24,285.78,286.34,281.52,286.07,286.07,23896961
2021-03-25,285.41,287.64,282.8,283.51,283.51,19166165
2021-03-26,284.54,284.87,282.44,283.7,283.7,27986745
2021-03-29,278.71,284.84,277.85,282.87,282.87,42827874
2021-03-30,285.04,285.56,274.66,280.12,280.12,10787541
2021-03-31,285.98,288.64,284.24,286.18,286.18,23906962
2021-04-01,283.07,291.32,283.06,287.13,287.13,23404432
2021-04-02,286.7,287.51,281.71,284.72,284.72,19361249
2021-04-05,289.53,291.5,284.52,286.7,286.7,61951063
2021-04-06,286.75,286.99,280.0,284.69,284.69,21888158
2021-04-07,280.43,284.57,280.08,281.1,281.1,24843823
2021-04-08,278.37,279.06,275.14,277.13,277.13,24926739
2021-04-09,273.94,274.58,272.37,273.89,273.89,49093092
2021-04-12,272.23,275.24,269.05,273.79,273.79,41800589
2021-04-13,283.07,284.8,280.46,281.31,281.31,18578994
2021-04-14,286.49,286.55,279.97,284.27,284.27,17696589
2021-04-15,291.44,292.52,284.71,288.5,288.5,22821367
2021-04-16,290.35,294.79,289.66,290.16,290.16,35047709
2021-04-19,286.66,287.11,284.71,285.32,285.32,19947997
2021-04-20,289.43,296.66,287.59,292.67,292.67,12381957
2021-04-21,290.23,295.08,289.29,291.54,291.54,15658579
2021-04-22,288.9,290.38,284.13,286.96,286.96,19176333
2021-04-23,280.21,282.34,280.07,282.3,282.3,24330137
2021-04-26,278.87,279.56,276.44,278.97,278.97,34250956
2021-04-27,277.86,284.15,277.42,281.31,281.31,13235195
2021-04-28,279.61,284.49,279.1,280.36,280.36,77473649
2021-04-29,286.58,288.32,277.96,283.35,283.35,77049789
