Date,Open,High,Low,Close,Adj Close,Volume
2021-03-09,2437.56,2469.28,2377.48,2422.21,2422.21,3863305
2021-03-10,2484.97,2510.98,2484.47,2495.22,2495.22,10784640
2021-03-11,2534.8,2548.29,2471.75,2503.53,2503.53,20403144
2021-03-12,2451.52,2496.82,2434.19,2465.75,2465.75,7959377
2021-03-15,2386.29,2421.18,2360.06,2374.48,2374.48,9961240
2021-03-16,2371.8,2438.88,2363.22,2399.93,2399.93,10536123
2021-03-17,2372.08,2392.64,2336.95,2364.1,2364.1,6691890
2021-03-18,2498.34,2503.91,2454.16,2457.4,2457.4,3151484
2021-03-19,2542.92,2578.94,2528.68,2529.38,2529.38,9863356
2021-03-22,2508.09,2553.12,2478.48,2522.53,2522.53,21883141
2021-03-23,2589.24,2595.68,2538.35,2561.97,2561.97,5434310
2021-03-24,2594.17,2608.83,2563.18,2567.05,2567.05,9093986
2021-03-25,2600.3,2610.96,2588.94,2599.72,2599.72,3466903
2021-03-26,2714.83,2781.66,2687.67,2732.74,2732.74,7289550
2021-03-29,2684.12,2692.81,2614.12,2666.42,2666.42,6159996
2021-03-30,2630.81,2658.01,2625.44,2648.74,2648.74,23473368
2021-03-31,2637.07,2658.4,2606.91,2643.84,2643.84,11255939
2021-04-01,2549.09,2616.36,2547.77,2578.06,2578.06,22673716
2021-04-02,2598.42,2599.02,2572.57,2575.33,2575.33,8634223
2021-04-05,2671.28,2684.42,2663.22,2682.69,2682.69,25295438
2021-04-06,2707.95,2733.59,2676.35,2687.73,2687.73,7557533
2021-04-07,2721.43,2744.11,2695.44,2726.19,2726.19,7525413
2021-04-08,2662.8,2687.69,2657.74,2668.83,2668.83,27733905
2021-04-09,2611.38,2665.4,2605.17,2636.07,2636.07,6895260
2021-04-12,2731.51,2773.8,2725.39,2767.79,2767.79,4822212
2021-04-13,2726.54,2772.62,2688.24,2721.01,2721.01,12388973
2021-04-14,2758.83,2794.4,2702.58,2740.07,2740.07,3559647
2021-04-15,2790.71,2803.71,2777.78,2784.02,2784.02,9519031
2021-04-16,2912.67,2928.07,2887.99,2889.48,2889.48,6093676
2021-04-19,2963.07,2982.75,2872.64,2929.81,2929.81,7214152
2021-04-20,2977.41,3008.92,2962.35,3008.7,3008.7,19207151
2021-04-21,3014.99,3070.42,3006.07,3057.28,3057.28,10812086
2021-04-22,3083.17,3112.42,3044.75,3077.5,3077.5,5485778
2021-04-23,3124.14,3132.99,3055.13,3075.11,3075.11,4808552
2021-04-26,2984.74,3032.56,2975.04,3021.93,3021.93,3851353
2021-04-27,2873.88,2901.3,2872.62,2884.68,2884.68,15102890
2021-04-28,2920.17,2978.29,2915.52,2922.98,2922.98,8156191
2021-04-29,2833.79,2912.29,2824.94,2873.8,2873.8,5693799
2021-04-30,2943.31,2973.87,2931.15,2946.0,2946.0,9310690
2021-05-03,2989.74,3035.63,2989.13,3005.13,3005.13,14973770
2021-05-04,2934.08,3009.01,2930.32,2964.89,2964.89,6552550
2021-05-05,3007.81,3077.2,3006.9,3032.44,3032.44,6412339
2021-05-06,3074.17,3124.64,3070.82,3075.96,3075.96,10999271
2021-05-07,3115.74,3117.49,3082.48,3086.3,3086.3,6360019
2021-05-10,3038.61,3091.51,3005.43,3048.98,3048.98,9547783
2021-05-11,3100.39,3195.28,3087.12,3141.9,3141.9,12934011
2021-05-12,3235.65,3307.28,3202.9,3248.26,3248.26,14928400
2021-05-13,3305.77,3311.94,3243.7,3257.86,3257.86,8642894
2021-05-14,3372.53,3378.05,3296.76,3340.78,3340.78,6742976
2021-05-17,3319.56,3387.32,3284.96,3331.96,3331.96,7977100
2021-05-18,3391.79,3424.41,3379.79,3417.55,3417.55,9053051
2021-05-19,3328.11,3345.73,3308.35,3334.86,3334.86,2937550
2021-05-20,3272.95,3353.46,3256.13,3315.38,3315.38,9427283
2021-05-21,3314.63,3350.91,3311.32,3333.36,3333.36,14004129
2021-05-24,3281.3,3282.07,3172.43,3227.04,3227.04,9920559
2021-05-25,3152.99,3203.96,3135.03,3188.02,3188.02,22519262
2021-05-26,3109.49,3131.12,3026.65,3082.82,3082.82,20605462
2021-05-27,3059.68,3115.95,3054.34,3098.27,3098.27,7103147
2021-05-28,3127.64,3141.45,3105.03,3121.03,3121.03,11363463
2021-05-31,3022.67,3053.12,2991.36,3008.34,3008.34,11740375
2021-06-01,3095.4,3104.76,3081.24,3098.36,3098.36,4944176
2021-06-02,2902.42,2906.44,2843.66,2894.03,2894.03,7549707
2021-06-03,2991.17,3051.89,2990.29,3002.76,3002.76,20327654
2021-06-04,3104.2,3106.06,3084.91,3100.41,3100.41,10585309
2021-06-07,3182.27,3235.6,3139.89,3174.91,3174.91,5068686
2021-06-08,3126.5,3151.0,3079.92,3114.53,3114.53,11131167
2021-06-09,3130.18,3131.75,3052.91,3078.07,3078.07,14206471
2021-06-10,3041.95,3113.47,3039.35,3059.53,3059.53,10697901
2021-06-11,3043.1,3053.01,3003.69,3035.47,3035.47,15066503
2021-06-14,3105.5,3161.43,3064.52,3123.09,3123.09,5164587
2021-06-15,3065.22,3118.19,3057.79,3071.94,3071.94,13725187
2021-06-16,3124.31,3138.71,3102.65,3105.97,3105.97,8130064
2021-06-17,3108.0,3121.62,3067.84,3118.01,3118.01,11906742
2021-06-18,3047.11,3079.45,3041.73,3052.68,3052.68,8118869
2021-06-21,2912.41,2915.48,2905.48,2905.51,2905.51,17784352
2021-06-22,2884.93,2914.97,2873.35,2905.07,2905.07,19224354
2021-06-23,3083.26,3101.54,3035.08,3055.48,3055.48,12252952
2021-06-24,3082.71,3149.02,3081.47,3116.47,3116.47,4793387
2021-06-25,3069.95,3152.73,3067.55,3094.43,3094.43,29246813
2021-06-28,3207.08,3245.49,3178.06,3227.82,3227.82,6767897
2021-06-29,3246.56,3259.52,3205.2,3248.3,3248.3,8553579
2021-06-30,3302.66,3354.9,3262.68,3300.32,3300.32,7309671
2021-07-01,3342.84,3376.11,3317.3,3336.89,3336.89,4761483
2021-07-02,3305.48,3365.41,3251.27,3314.21,3314.21,4525319
2021-07-05,3325.29,3366.56,3288.97,3341.36,3341.36,11429326
2021-07-06,3260.53,3305.42,3235.09,3276.71,3276.71,29483453
2021-07-07,3355.4,3394.56,3291.89,3348.13,3348.13,3359078
2021-07-08,3359.55,3373.3,3274.9,3330.68,3330.68,8241831
2021-07-09,3466.2,3495.45,3428.78,3430.6,3430.6,18417198
2021-07-12,3374.98,3441.46,3353.79,3383.09,3383.09,7026915
2021-07-13,3332.63,3369.92,3255.66,3305.68,3305.68,15602527
2021-07-14,3236.71,3266.37,3219.35,3255.02,3255.02,46258817
2021-07-15,3179.99,3230.16,3171.92,3217.33,3217.33,10029175
2021-07-16,3195.5,3211.37,3178.31,3192.13,3192.13,2904856
2021-07-19,3220.0,3239.39,3207.48,3212.3,3212.3,16045608
2021-07-20,3257.29,3293.44,3244.82,3276.18,3276.18,12669897
2021-07-21,3257.4,3296.63,3177.09,3235.59,3235.59,4765233
2021-07-22,3250.26,3302.47,3216.64,3240.06,3240.06,16294676
2021-07-23,3320.97,3338.3,3292.13,3312.73,3312.73,18056957
2021-07-26,3272.08,3341.91,3259.94,3280.49,3280.49,8701492
2021-07-27,3273.9,3335.17,3269.43,3311.88,3311.88,19135837
2021-07-28,3232.88,3291.81,3227.49,3251.9,3251.9,13146529
2021-07-29,3144.95,3188.74,3124.22,3183.47,3183.47,11471585
2021-07-30,3149.1,3169.13,3119.86,3127.52,3127.52,7453319
2021-08-02,3167.83,3181.06,3158.25,3160.45,3160.45,5733807
2021-08-03,3184.33,3272.37,3184.01,3238.86,3238.86,6456676
2021-08-04,3413.22,3425.62,3374.74,3378.02,3378.02,8264504
2021-08-05,3407.3,3432.41,3405.16,3417.05,3417.05,5597026
2021-08-06,3397.96,3491.84,3388.63,3426.61,3426.61,11550014
2021-08-09,3479.33,3533.07,3443.68,3466.35,3466.35,11213184
2021-08-10,3508.85,3542.79,3505.01,3533.88,3533.88,19807433
