Date,Open,High,Low,Close,Adj Close,Volume
2021-03-09,3571.4,3592.55,3502.8,3573.09,3573.09,3813608
2021-03-10,3538.34,3628.86,3519.17,3562.46,3562.46,7123009
2021-03-11,3592.72,3632.07,3542.04,3613.43,3613.43,1144463
2021-03-12,3542.97,3612.63,3527.51,3584.13,3584.13,3722883
2021-03-15,3604.39,3617.46,3542.61,3553.87,3553.87,9811988
2021-03-16,3615.58,3638.22,3560.39,3604.91,3604.91,4489143
2021-03-17,3600.1,3643.35,3535.14,3582.18,3582.18,2368477
2021-03-18,3499.34,3589.09,3484.85,3537.13,3537.13,2263771
2021-03-19,3620.13,3633.38,3559.03,3596.69,3596.69,3002342
2021-03-22,3610.32,3638.06,3570.35,3582.99,3582.99,3636896
2021-03-23,3434.11,3457.31,3415.87,3448.25,3448.25,5559587
2021-03-24,3392.72,3428.84,3338.26,3377.95,3377.95,1661500
2021-03-25,3478.47,3523.53,3465.13,3497.21,3497.21,4301665
2021-03-26,3486.27,3488.44,3469.41,3479.77,3479.77,3219230
2021-03-29,3453.4,3565.24,3452.97,3501.68,3501.68,2142467
2021-03-30,3618.03,3626.19,3591.46,3609.64,3609.64,1810014
2021-03-31,3650.88,3702.56,3645.8,3698.5,3698.5,2469503
2021-04-01,3676.68,3725.98,3628.15,3681.42,3681.42,6162212
2021-04-02,3622.28,3644.58,3607.34,3629.53,3629.53,1568883
2021-04-05,3706.78,3761.56,3666.6,3722.82,3722.82,1874077
2021-04-06,3663.44,3759.5,3644.02,3707.61,3707.61,3383599
2021-04-07,3792.01,3830.26,3745.88,3779.68,3779.68,3405659
2021-04-08,3758.26,3788.65,3748.6,3751.51,3751.51,13172194
2021-04-09,3733.05,3764.99,3708.56,3756.34,3756.34,1911273
2021-04-12,3806.93,3837.57,3724.39,3785.93,3785.93,2119359
2021-04-13,3713.14,3772.17,3676.67,3709.01,3709.01,4673853
2021-04-14,3584.78,3617.84,3559.9,3610.43,3610.43,4692837
2021-04-15,3636.41,3662.09,3594.58,3631.0,3631.0,1038402
2021-04-16,3580.64,3591.65,3565.28,3583.23,3583.23,2230315
2021-04-19,3565.86,3569.27,3528.57,3557.85,3557.85,3907114
2021-04-20,3569.58,3589.66,3555.73,3556.78,3556.78,6917409
