Date,Open,High,Low,Close,Adj Close,Volume
2021-03-09,244.5,247.18,243.95,244.43,244.43,56305150
2021-03-10,244.58,245.8,239.41,243.36,243.36,134211119
2021-03-11,234.61,236.16,231.23,235.67,235.67,128269508
2021-03-12,249.37,252.18,248.01,251.5,251.5,113726180
2021-03-15,256.71,256.83,249.07,253.04,253.04,60527172
2021-03-16,254.34,259.7,253.75,257.36,257.36,64452946
2021-03-17,252.52,255.18,246.26,250.66,250.66,88775761
2021-03-18,241.49,244.49,239.13,240.55,240.55,139710645
2021-03-19,235.71,238.29,235.32,236.92,236.92,51941937
2021-03-22,231.01,236.11,229.22,233.53,233.53,173548051
2021-03-23,237.85,241.22,237.22,240.8,240.8,69481230
2021-03-24,238.03,238.96,232.23,236.31,236.31,112106905
2021-03-25,242.14,243.15,237.19,241.15,241.15,70573129
2021-03-26,231.44,231.5,231.0,231.22,231.22,105342026
2021-03-29,225.11,228.49,222.33,226.8,226.8,67077349
2021-03-30,234.0,237.01,233.05,233.07,233.07,162860818
2021-03-31,229.96,232.99,228.85,230.69,230.69,81321195
2021-04-01,226.25,228.14,225.57,228.09,228.09,138206935
2021-04-02,224.49,225.43,224.49,224.83,224.83,64261339
2021-04-05,220.14,220.2,218.28,218.36,218.36,78959587
2021-04-06,214.57,217.29,213.53,215.66,215.66,388950103
2021-04-07,218.49,221.37,217.24,219.66,219.66,74329066
2021-04-08,207.97,209.7,207.84,208.02,208.02,54893316
2021-04-09,193.59,195.69,191.2,194.82,194.82,111385058
2021-04-12,189.83,193.29,188.75,191.33,191.33,59352664
2021-04-13,192.69,193.17,189.5,191.9,191.9,117728365
2021-04-14,185.84,187.85,183.93,185.15,185.15,46370298
2021-04-15,189.63,192.41,187.94,190.25,190.25,130327053
2021-04-16,187.25,190.03,186.71,189.08,189.08,100425426
2021-04-19,178.9,183.18,178.32,181.33,181.33,101514489
2021-04-20,186.15,186.33,183.48,185.25,185.25,224075589
2021-04-21,190.31,192.79,186.43,189.18,189.18,67924122
2021-04-22,176.24,179.23,175.63,178.11,178.11,97795178
2021-04-23,174.95,178.84,174.12,176.14,176.14,64916457
2021-04-26,178.21,179.46,177.98,178.85,178.85,118199527
2021-04-27,176.25,177.29,174.05,174.34,174.34,160922294
2021-04-28,180.45,180.78,178.32,179.0,179.0,121244911
2021-04-29,180.13,181.0,176.92,180.1,180.1,72855288
2021-04-30,181.56,183.53,181.53,181.78,181.78,65008516
2021-05-03,179.71,182.89,179.02,180.99,180.99,80465944
2021-05-04,191.4,192.97,189.12,190.3,190.3,123047454
2021-05-05,179.93,181.42,179.01,180.28,180.28,266350868
2021-05-06,181.31,182.85,180.71,181.29,181.29,65946798
2021-05-07,178.29,179.25,178.02,178.26,178.26,68345738
2021-05-10,181.74,182.8,180.11,181.79,181.79,75294784
2021-05-11,190.12,193.81,187.19,190.36,190.36,126732356
2021-05-12,189.6,190.69,187.35,190.06,190.06,45183030
2021-05-13,193.76,194.4,190.66,193.97,193.97,160102274
2021-05-14,188.28,188.42,185.12,187.81,187.81,33900092
2021-05-17,188.73,192.98,187.75,191.08,191.08,208610801
2021-05-18,189.48,192.33,189.31,190.22,190.22,304812340
2021-05-19,191.29,191.52,190.1,190.91,190.91,107713858
2021-05-20,195.73,196.28,193.28,196.1,196.1,180688535
2021-05-21,194.96,196.04,192.85,194.59,194.59,95543661
2021-05-24,185.78,187.77,185.02,187.03,187.03,103462724
2021-05-25,185.68,187.07,184.15,185.7,185.7,102466047
2021-05-26,182.78,184.65,181.78,182.12,182.12,101602435
2021-05-27,182.99,183.96,181.04,183.28,183.28,142693916
2021-05-28,179.94,184.4,179.03,181.85,181.85,103564188
2021-05-31,181.93,186.13,181.02,183.54,183.54,98407322
2021-06-01,182.5,183.17,181.34,182.08,182.08,96170926
2021-06-02,192.81,192.83,188.51,189.11,189.11,90558501
2021-06-03,185.43,189.99,185.18,188.31,188.31,123402601
2021-06-04,188.57,190.03,185.49,188.02,188.02,186616611
2021-06-07,186.32,188.33,184.58,185.81,185.81,139431636
2021-06-08,188.19,189.25,187.88,188.59,188.59,86937300
2021-06-09,176.25,178.22,176.22,178.01,178.01,77695585
2021-06-10,176.9,178.77,174.11,177.47,177.47,71387443
2021-06-11,176.75,179.07,175.76,176.43,176.43,120403121
2021-06-14,170.69,173.92,170.53,171.3,171.3,62447599
2021-06-15,172.63,173.15,170.34,170.65,170.65,128613598
2021-06-16,167.18,169.87,166.7,166.78,166.78,198659897
2021-06-17,166.55,167.11,162.27,164.31,164.31,85983382
2021-06-18,177.38,179.83,175.75,176.55,176.55,51219929
2021-06-21,181.53,181.62,176.04,179.18,179.18,54790294
2021-06-22,171.97,173.29,170.9,172.56,172.56,156705620
2021-06-23,170.28,171.0,166.66,169.8,169.8,118518941
2021-06-24,164.78,166.76,163.16,166.07,166.07,67069363
2021-06-25,171.95,172.31,168.41,171.77,171.77,93425963
2021-06-28,163.59,166.08,161.28,163.47,163.47,218009826
